Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,Airline,AirTime,ArrDelay,DepDelay,Dest,Distance,TaxiIn,TaxiOut
1,1,2,1911,1715,1958,1806,United,25,112,116,MDT,94,5,17
1,1,2,1357,1217,1446,1318,United,35,88,100,ORF,157,2,12
1,1,2,1457,1435,1549,1535,United,36,14,22,ORF,157,2,14
1,1,2,1322,1313,1416,1416,United,36,0,9,PIT,183,4,14
1,1,2,1720,1700,1824,1805,United,38,19,20,ROA,177,9,17
1,1,2,1320,1225,1420,1349,United,42,31,55,LGA,229,4,14
1,1,2,2315,2205,15,2305,United,43,70,70,ORF,157,5,12
1,1,2,2202,2145,2302,2250,United,43,12,17,RDU,224,3,14
1,1,2,1102,1050,1211,1203,JetBlue,43,8,12,JFK,228,9,17
1,1,2,1401,1345,1519,1500,JetBlue,44,19,16,JFK,228,5,29
1,1,2,852,720,1001,830,United,48,91,92,LGA,229,5,16
1,1,2,1905,1659,2012,1829,United,49,103,126,EWR,213,8,10
1,1,2,1932,1805,2043,1929,United,49,74,87,LGA,229,4,18
1,1,2,1532,1450,1645,1615,United,50,30,42,EWR,213,6,17
1,1,2,2015,1915,2141,2045,United,50,56,60,EWR,213,9,27
1,1,2,1810,1725,1936,1851,United,52,45,45,CLE,288,14,20
1,1,2,2120,2055,2230,2224,JetBlue,55,6,25,BOS,413,3,12
1,1,2,2215,2136,2327,2306,United,56,21,39,BOS,413,3,13
1,1,2,924,830,1056,1001,United,57,55,54,PWM,494,3,32
1,1,2,2211,2155,2331,2313,United,59,18,16,BDL,326,7,14
1,1,2,1601,1435,1728,1609,United,64,79,86,BOS,413,6,17
1,1,2,1725,1655,1915,1827,United,64,48,30,CLT,321,23,23
1,1,2,5,2155,132,2308,United,65,144,130,CLE,288,13,9
1,1,2,1146,1130,1308,1302,JetBlue,66,6,16,BOS,413,3,13
1,1,2,1436,1235,1614,1429,Delta,69,105,121,DTW,383,15,14
1,1,2,1252,1233,1425,1358,United,70,27,19,CLT,321,6,17
1,1,2,914,857,1110,1028,United,70,42,17,CLT,321,6,40
1,1,2,1350,1245,1538,1432,United,87,66,65,CHS,441,4,17
